"","time","lasso","forward","tree","Random_Forest","SVR_L","SVR_P","SVR_R","true_value"
"1",2013-12-27 09:28:00,15109.1784366757,14733.3647891297,20083.2379008333,17761.8614334327,13427.5636872269,NA,NA,14787.65109
"2",2013-11-24 13:08:00,29738.3986593394,29368.8281052415,38954.8084477778,32860.1861712993,28028.9934837476,NA,NA,29730.78881
"3",2013-12-16 16:59:00,15386.9296218148,14674.374072349,19540.5262457143,19914.529819059,14061.6553082496,NA,NA,15000.80335
"4",2013-12-08 13:00:00,19030.9924115226,19061.1882427193,15295.0481128571,17308.138748121,16557.2209570157,NA,NA,18676.36596
"5",2013-12-20 13:26:00,27070.8544801644,26963.4263761884,20959.5056576667,26096.136416373,28570.3672133468,NA,NA,26969.27947
"6",2013-12-24 04:27:00,42769.4278612484,43446.4660778529,35036.747462,39562.6402138066,41042.121883013,NA,NA,43139.47542
"7",2013-12-16 20:16:00,21983.188820427,22891.6725883003,22480.7684857143,22828.0424251106,22407.4563958208,NA,NA,21733.2789
"8",2013-12-16 11:18:00,42509.1996086434,42964.3147343903,39977.4506358333,43138.5542941006,41029.0933103842,NA,NA,42945.47159
"9",2013-11-26 18:45:00,46723.8166168324,47315.4419135933,41145.821215,43354.9527869399,46623.5799628559,NA,NA,47214.88094
"10",2013-11-24 21:51:00,29005.1207041623,28979.3921961382,20350.9913068333,27467.6235030777,29747.7976181241,NA,NA,28948.87563
"11",2013-12-04 06:30:00,20076.8935402244,19953.6176277145,19218.5817942857,20510.868328376,22931.0633752763,NA,NA,19813.54768
"12",2013-12-26 11:20:00,15188.8422216066,14230.0725565888,17738.4253218182,18041.8993313653,16491.5066944887,NA,NA,14635.95994
"13",2013-12-11 12:43:00,45565.5021323143,45958.5131397307,45317.0551792308,46216.7338117047,42598.8812259155,NA,NA,45806.98664
"14",2013-12-14 19:38:00,21470.1415698465,21319.0161643846,23930.22274,20099.0548997877,19000.5340206308,NA,NA,21113.74113
"15",2013-12-28 13:04:00,43805.5830681562,44003.7676590644,39413.5483277778,42409.9484274847,43008.3724305213,NA,NA,44184.64115
"16",2013-11-24 09:38:00,47408.2541700091,47875.4916170828,37631.1161484615,42288.349720331,46767.9448153627,NA,NA,47894.50107
"17",2013-12-09 19:17:00,33570.1865405563,33304.2938176914,40133.4601366667,36884.877492317,34158.2636894006,NA,NA,33676.96518
"18",2013-12-28 00:24:00,14363.0963341972,13905.6526731893,14695.303804875,16940.8816929922,13048.0705748066,NA,NA,13885.4713
"19",2013-12-20 09:32:00,30326.0530619152,30555.6378112885,40665.927827,33566.48409306,32437.2677399797,NA,NA,30370.78155
"20",2013-11-26 00:17:00,20229.2514826097,19932.5543786555,15561.8447707143,16991.30106936,18829.4262795907,NA,NA,19997.64958
"21",2013-12-22 07:39:00,27820.6558036352,27361.4080785211,21218.42877,31620.9741869617,27247.6059913602,NA,NA,27954.87812
"22",2013-12-07 06:49:00,23624.7424792702,23934.5667352553,24625.28469,19118.0411230126,24965.0844955585,NA,NA,23569.64866
"23",2013-12-21 06:02:00,35997.494922351,36027.7850253903,34864.341895,35642.9955700707,33037.0934056777,NA,NA,36066.62881
"24",2013-12-17 12:19:00,31073.6238398069,30905.5288590704,20305.0745937692,34386.8165412903,30211.0647010802,NA,NA,31063.49787
"25",2013-11-27 03:22:00,36006.8005077568,36313.4526355483,37534.5173008333,36751.8788367616,35860.0678769466,NA,NA,36251.23436
"26",2013-12-07 21:43:00,40834.8158384544,41225.7856293188,38096.829539,41126.4222079847,41446.5136076475,NA,NA,41110.69968
"27",2013-12-24 20:17:00,40974.1367958834,41462.9748659105,45757.0301011111,43702.7516126699,38752.5912156319,NA,NA,41303.80115
"28",2013-12-04 18:18:00,15156.2735332374,14605.4575244154,16955.2548942857,16068.182157269,13649.5759986198,NA,NA,14732.29912
"29",2013-12-24 06:36:00,36384.8486944693,36314.6555574812,41082.4628492308,39370.5017611857,39837.2004755005,NA,NA,36467.83718
"30",2013-12-13 15:15:00,26180.9056818077,25774.3409115324,24893.8694330769,27708.9717914293,27514.58316789,NA,NA,26014.96224
"31",2013-12-07 23:39:00,44906.5874387221,45302.4758757944,44203.60511,44902.100379041,47941.4357363226,NA,NA,45299.7651
"32",2013-12-17 14:53:00,39494.2875056929,39441.3668654466,43529.3036558333,41643.4547148747,39850.502399698,NA,NA,39698.38889
"33",2013-12-11 23:46:00,23175.2863804031,22857.0166717495,21495.2195184615,26651.3672547783,23533.9109569313,NA,NA,22963.23248
"34",2013-12-01 11:36:00,44513.0365855844,45302.4501317351,38754.136007,42136.245856441,46094.8867796095,NA,NA,44914.50043
"35",2013-12-03 00:03:00,18851.7602799982,18712.7222012347,13408.7545928571,16309.001936361,17449.2369428193,NA,NA,18469.00222
