"time","lasso","forward","tree","Random_Forest","SVR_L","SVR_P","SVR_R","true_value"
2013-12-27 09:28:00,10130.3733841769,10412.0285466282,18803.2959411765,16133.5182239477,9116.27320599069,NA,NA,14787.65109
2013-11-24 13:08:00,30842.5077037735,29486.2170701316,24255.3365430769,28984.1692265604,31817.9193731531,NA,NA,29730.78881
2013-12-16 16:59:00,16453.5406573643,18026.2745546655,23268.8373392593,20635.165461592,15234.11582925,NA,NA,15000.80335
2013-12-08 13:00:00,22680.4556497499,22957.3219763958,27012.9114423529,20652.4310284713,22344.4402992563,NA,NA,18676.36596
2013-12-20 13:26:00,27584.8316692882,26507.9519179503,28293.6884442857,27335.7642443243,29281.2093199604,NA,NA,26969.27947
2013-12-24 04:27:00,46525.0947423152,49761.8509095646,40767.3916948718,42763.604614809,50192.6520342579,NA,NA,43139.47542
2013-12-16 20:16:00,22330.6070319225,21324.0385246857,22186.71126,22383.4070477728,20497.8259376918,NA,NA,21733.2789
2013-12-16 11:18:00,41185.9674691403,41247.6327528112,44260.2112955555,41974.2886614286,40824.7828730129,NA,NA,42945.47159
2013-11-26 18:45:00,44903.6453914743,46094.7686335017,46603.7980588889,43632.16168157,47981.6215453153,NA,NA,47214.88094
2013-11-24 21:51:00,27025.3614013117,24456.7016327925,25090.8724766667,25924.1020492303,32065.9732496229,NA,NA,28948.87563
2013-12-04 06:30:00,22151.4890579919,20897.480504149,19934.7911377778,20287.4945510047,20302.6250557816,NA,NA,19813.54768
2013-12-26 11:20:00,12265.8231324294,11060.1429956947,15768.0798557059,15023.4069235101,13743.5609473963,NA,NA,14635.95994
2013-12-11 12:43:00,40066.0315975165,41485.2992560479,48027.2388455556,41879.7391106633,38831.2860022815,NA,NA,45806.98664
2013-12-14 19:38:00,22681.9433044418,26393.5239683756,28809.5202436364,23092.5874237203,23983.2122401846,NA,NA,21113.74113
2013-12-28 13:04:00,45700.1738321998,45200.7999192804,35684.7189546154,41474.504085087,46350.8882143562,NA,NA,44184.64115
2013-11-24 09:38:00,47502.4968889028,50072.8644239699,41795.7643875862,44828.1230689263,49892.671348601,NA,NA,47894.50107
2013-12-09 19:17:00,31552.9704302819,28023.0087129556,27862.817294375,33230.217388495,31719.9519243157,NA,NA,33676.96518
2013-12-28 00:24:00,13709.4712434952,14602.9376778757,16847.6182930769,15992.8760341677,12745.1472298765,NA,NA,13885.4713
2013-12-20 09:32:00,33525.9688683028,32996.7924484706,36527.594863125,34703.4583700093,28983.1810816423,NA,NA,30370.78155
2013-11-26 00:17:00,24544.4266108463,23989.8625635159,22387.3403623684,19074.9863933783,28572.4477464866,NA,NA,19997.64958
2013-12-22 07:39:00,24237.7308032187,20055.2750588218,32263.5633283333,30906.6726725573,18968.3945157968,NA,NA,27954.87812
2013-12-07 06:49:00,25431.0111163974,28757.6915013913,26733.82948375,25375.8230051646,20589.6537480687,NA,NA,23569.64866
2013-12-21 06:02:00,39335.3789129964,41307.754991787,28188.8148945455,33882.1115113533,42920.6352851098,NA,NA,36066.62881
2013-12-17 12:19:00,30417.9640792772,28701.8593182529,33354.2869658333,32370.9302254736,29389.6666810478,NA,NA,31063.49787
2013-11-27 03:22:00,37474.5662328322,36803.333323944,32873.4411128571,34306.5743549727,35375.5861207188,NA,NA,36251.23436
2013-12-07 21:43:00,41577.4486561751,42391.2499626308,39706.5208704762,42196.580548404,42959.9313090422,NA,NA,41110.69968
2013-12-24 20:17:00,42587.3536354337,41487.2825377791,42127.7445584615,41964.2409634313,44743.6581395249,NA,NA,41303.80115
2013-12-02 05:32:00,49012.2373241257,45662.7831753715,42264.9171314286,41612.4266344877,52057.4864082547,NA,NA,51361.45197
2013-12-04 18:18:00,16178.5686931848,17113.5114241539,12838.231495,13447.676166452,12568.8321871832,NA,NA,14732.29912
2013-12-24 06:36:00,37204.6919445881,37036.2556699708,31926.2868125,35006.3330925289,40043.0557542293,NA,NA,36467.83718
2013-12-13 15:15:00,23972.7616676531,22070.1639982577,24355.56773,27719.4051992686,20066.2590008713,NA,NA,26014.96224
2013-12-07 23:39:00,41236.5609214162,39843.5286638274,43255.1348731818,42425.01414778,42898.8246596193,NA,NA,45299.7651
2013-12-17 14:53:00,37940.3928488922,36660.3853399529,32567.5665933333,38657.3965620784,38818.5248590306,NA,NA,39698.38889
2013-12-11 23:46:00,22099.1188058101,20829.0882561451,22264.1318764286,22685.2345198097,21200.4098051343,NA,NA,22963.23248
2013-12-01 11:36:00,44741.6123496234,46441.0702488376,42878.6291533333,41756.778286014,45940.5634425409,NA,NA,44914.50043
2013-12-03 00:03:00,20893.1392103621,21735.1514455755,19137.83252,17274.2722583287,21767.0977315617,NA,NA,18469.00222
2013-12-09 18:00:00,39690.3857805281,37306.7043504929,37127.887208,39466.5500460063,41597.7807377874,NA,NA,37427.14499
2013-12-01 17:32:00,19624.031054244,17017.9882165202,20149.9336890909,17032.4639986593,20026.46432819,NA,NA,13445.98642
