"time","lasso","forward","tree","Random_Forest","SVR_L","SVR_P","SVR_R","true_value"
2013-12-27 09:28:00,13898.3792136231,16340.4701384197,20092.6310536364,20299.0946940877,7282.65335266482,NA,NA,14787.65109
2013-11-24 13:08:00,32049.7456906903,31509.0611094714,25888.57534375,29937.9344333724,36519.3917931985,NA,NA,29730.78881
2013-12-16 16:59:00,17564.2672343418,17796.3216910162,16771.3980342857,21030.476316318,23008.8634386873,NA,NA,15000.80335
2013-12-08 13:00:00,18145.1435294568,24590.2318294146,17161.9325378,16603.5592915488,16268.1026469326,NA,NA,18676.36596
2013-12-20 13:26:00,30531.7925457018,31166.2693793098,24679.4671457143,29697.3269834663,33005.4859585028,NA,NA,26969.27947
2013-12-24 04:27:00,39394.0876713313,47900.059884742,44198.19364,41192.9004407786,40283.9685247862,NA,NA,43139.47542
2013-12-16 20:16:00,23044.0633618057,21518.093199928,26657.3773938462,23908.8040879527,20905.4383484096,NA,NA,21733.2789
2013-12-16 11:18:00,41630.3946033919,57743.423808154,43935.7102428571,40568.7802192374,46201.3089148485,NA,NA,42945.47159
2013-11-26 18:45:00,45380.2891148593,45885.830130467,44386.9472455556,44285.8943191043,37756.6837602077,NA,NA,47214.88094
2013-11-24 21:51:00,29894.2806519463,27660.0914893179,21318.9535258333,23561.3024579596,26021.7845417648,NA,NA,28948.87563
2013-12-04 06:30:00,22871.0303540502,21704.5583429716,18444.0597357143,19757.6377822973,31440.8316698854,NA,NA,19813.54768
2013-12-26 11:20:00,18037.048037147,4688.73001351073,22389.2204263636,20770.9958484777,13180.1234284482,NA,NA,14635.95994
2013-12-11 12:43:00,41249.2769376897,44065.726483002,39136.1985175,41770.5776195363,47937.0220297628,NA,NA,45806.98664
2013-12-14 19:38:00,25061.9496962729,26036.0374243234,26874.608056,26222.7630089043,25838.3814376141,NA,NA,21113.74113
2013-12-28 13:04:00,44366.8611321757,44994.8753264963,42064.3080966667,44825.3036853234,56985.1472013936,NA,NA,44184.64115
