"time","lasso","forward","tree","Random_Forest","SVR_L","SVR_P","SVR_R","true_value"
2013-12-27 09:28:00,13745.8623081026,14931.2941496301,21766.6453415385,18762.1444762983,12464.0170207855,NA,NA,14787.65109
2013-11-24 13:08:00,29966.7710225557,29146.4058619883,27378.5254075,28943.8657670273,30440.6273647591,NA,NA,29730.78881
2013-12-16 16:59:00,15163.8671113245,18964.5205712799,14986.8541328571,15995.3070215853,17246.0548469932,NA,NA,15000.80335
2013-12-08 13:00:00,18896.3776089087,19953.0936696114,17015.9036488889,16749.9264463037,17137.9013540423,NA,NA,18676.36596
2013-12-20 13:26:00,27394.4075160742,26919.3884128465,20682.0010028571,25918.6321462306,28112.8885605221,NA,NA,26969.27947
2013-12-24 04:27:00,43050.9577560684,44204.923523934,42341.3300036364,41094.1511235987,41918.9465290587,NA,NA,43139.47542
2013-12-16 20:16:00,21781.3667037546,20375.3741253237,27211.0917908333,20859.7810191669,21358.5794793917,NA,NA,21733.2789
2013-12-16 11:18:00,42547.1118924371,42371.498557183,46651.4182014286,40157.7892509253,42326.0483118168,NA,NA,42945.47159
2013-11-26 18:45:00,48066.7328543605,48681.1201063823,45218.0413625,46782.124936193,48144.2804167684,NA,NA,47214.88094
2013-11-24 21:51:00,28951.5603136306,29143.2597236921,19985.8063145455,27118.045100792,28357.1716527182,NA,NA,28948.87563
2013-12-04 06:30:00,20025.0530108076,19272.195447489,18357.4307014286,19521.4932601653,18876.2493768131,NA,NA,19813.54768
2013-12-26 11:20:00,14402.0441264986,13269.2253197912,24854.8750141667,20300.9265226753,10447.0749149948,NA,NA,14635.95994
2013-12-11 12:43:00,46800.0955024903,46429.6141419097,40810.7799218182,42103.9856233346,48351.7705589918,NA,NA,45806.98664
2013-12-14 19:38:00,21580.3631386751,20805.5975420432,22916.05844625,22153.556003976,21382.8086570517,NA,NA,21113.74113
2013-12-28 13:04:00,44167.5839407507,43386.9669645466,42536.8470923077,46180.8647451407,44578.9117037382,NA,NA,44184.64115
2013-11-24 09:38:00,47739.2042677389,47821.5840602747,46773.8940477778,46338.1123033744,48292.9070535862,NA,NA,47894.50107
2013-12-09 19:17:00,33585.117169711,31890.6106227708,39521.7266811111,36506.6926155493,34360.8176286898,NA,NA,33676.96518
2013-12-28 00:24:00,14018.3059416335,13999.4255635908,14841.458564,14159.1620559811,14417.9488183289,NA,NA,13885.4713
2013-12-20 09:32:00,31272.0392500592,31469.4969010245,38311.7480036364,30613.5258753744,31789.1501998278,NA,NA,30370.78155
2013-11-26 00:17:00,20376.4039520769,19864.0570763806,19464.0831335714,18725.926061475,20546.119875065,NA,NA,19997.64958
2013-12-22 07:39:00,27301.3398619406,25968.3059444825,31397.5656077778,30271.1454308167,27381.9663348583,NA,NA,27954.87812
2013-12-07 06:49:00,24639.381364934,28111.5284415471,22874.5863588889,21845.4513263266,24134.9765534925,NA,NA,23569.64866
2013-12-21 06:02:00,35495.5078239323,36930.9625483291,42942.3820814286,36453.2821261807,34608.3469897761,NA,NA,36066.62881
2013-12-17 12:19:00,30954.2586180578,31025.5531362537,42421.5873023077,34259.7874576783,30827.4571356616,NA,NA,31063.49787
2013-11-27 03:22:00,36690.0885314182,37053.8979326299,34426.5486885714,36241.729115015,37338.9756388064,NA,NA,36251.23436
2013-12-07 21:43:00,41741.5182856824,42346.336055455,43359.2689045455,42492.8630501246,41385.5297843636,NA,NA,41110.69968
2013-12-24 20:17:00,41231.5549033822,40881.8893522013,43117.2805033333,39544.2953980897,41604.4806566709,NA,NA,41303.80115
2013-12-02 05:32:00,48067.8873393318,53890.6718733621,29194.93242,24570.6155420067,22267.7493175377,NA,NA,51361.45197
2013-12-04 18:18:00,14599.0864451714,14224.4010623128,22495.52535,16981.603878497,14282.5973839091,NA,NA,14732.29912
2013-12-24 06:36:00,36065.820081385,35993.4348047456,31257.8392011111,38585.6893521324,36269.9477089238,NA,NA,36467.83718
2013-12-13 15:15:00,25319.1877022395,24625.3161554423,22363.5061083333,22783.8371887767,24605.4878189518,NA,NA,26014.96224
2013-12-07 23:39:00,43907.1034647222,44154.8350015136,42181.10883,42387.394939958,43450.052649965,NA,NA,45299.7651
2013-12-17 14:53:00,39227.5499832439,39160.2759116618,34129.3355681818,40315.9230164603,40886.5085155591,NA,NA,39698.38889
2013-12-11 23:46:00,22954.4022007484,22533.0282212944,21847.026375,26379.0449155287,23564.2581214978,NA,NA,22963.23248
2013-12-01 11:36:00,45121.6519202451,45539.1347279082,43443.005698,43543.1804278663,43767.9065089124,NA,NA,44914.50043
2013-12-03 00:03:00,18564.4616224763,19790.3378355574,22383.2244945455,16851.561157723,17661.9672011147,NA,NA,18469.00222
2013-12-09 18:00:00,37370.5911795539,37746.015179014,42435.9825658333,37244.4353715734,37366.3711407011,NA,NA,37427.14499
2013-12-01 17:32:00,14187.1883924689,14769.894938908,18834.6072822222,16355.5623342567,14180.6234152366,NA,NA,13445.98642
2013-12-01 18:45:00,15334.7576555721,15430.7576451012,19875.7025207692,17419.808812072,12303.654013851,NA,NA,14777.4207
2013-12-21 01:23:00,42248.390030777,42782.9215499624,40856.442045,44666.349338306,41590.8530890734,NA,NA,43012.96801
2013-11-24 18:06:00,37167.8279365357,36927.8122713209,41808.2895846154,37151.1173330097,37961.3355572383,NA,NA,37814.62282
2013-11-25 07:19:00,40692.573853886,40777.3163702809,45169.9913814286,39028.5896907357,41574.2564049633,NA,NA,41048.27382
2013-12-27 12:45:00,33796.9344424525,34554.297286732,33905.82433,33965.5178802073,34323.280841921,NA,NA,33662.86574
2013-11-24 18:44:00,28145.9298604105,28001.6263560908,22763.0701353846,27283.1412994584,27180.2231643318,NA,NA,27643.07833
2013-12-11 00:13:00,22186.7704689653,22287.686259872,14129.2750655556,19114.4284340957,22327.919447487,NA,NA,21301.14919
2013-12-10 22:15:00,14180.5585487289,19101.6082520237,12954.4924621,14536.039676793,12342.6605452643,NA,NA,14548.34037
2013-12-25 00:40:00,16597.7562330943,16476.5617835209,13104.37305,15807.4282311164,15936.1835148471,NA,NA,16264.00958
2013-12-02 06:06:00,51496.5446898713,52562.364951041,20170.2822071429,26260.368468947,46589.4791338674,NA,NA,51581.63152
2013-12-27 09:21:00,14566.1389620877,18179.1557632279,19668.9516671429,23001.108282406,17983.4633525376,NA,NA,14806.79399
2013-12-04 09:35:00,14858.4952830979,15552.6154777092,15299.594825,14842.7909079443,14945.1059807747,NA,NA,14519.21862
2013-12-15 12:24:00,26094.563650171,25203.7561767446,24543.211743,26306.9093987573,25666.0900380303,NA,NA,25540.4579
2013-12-09 18:32:00,38807.7259797354,36823.3099965798,46325.0017161538,42896.3207839556,38198.9805987702,NA,NA,38980.48284
2013-12-08 02:29:00,36080.1531489623,34836.9690712574,42795.4704675,39710.648943224,36531.4834163574,NA,NA,35686.76922
2013-11-27 16:49:00,12414.9210174633,13160.6788265847,18338.36996375,17068.3629699637,11300.5742621913,NA,NA,13278.22472
2013-12-05 17:45:00,18885.7282804954,17393.5582133653,23978.9697114286,22106.1816717053,18261.8088088302,NA,NA,17823.80184
2013-12-23 23:47:00,14045.8937126057,14331.99096331,14475.433239,14329.888403273,11620.7703495835,NA,NA,13746.56858
2013-12-06 11:46:00,32461.9963744938,32579.724651744,29209.6786271429,31851.6204799627,32605.0935953141,NA,NA,31997.67092
2013-12-23 18:41:00,31829.7724654365,32457.5704495415,29578.72267,31629.918585122,31517.8472347635,NA,NA,32084.48807
2013-12-14 12:04:00,49233.9829175372,48311.3334124731,43969.4683345454,46773.0904358477,50066.3441760317,NA,NA,48389.45349
2013-12-24 03:50:00,35333.9111156517,35561.5041924827,35002.6332428571,35050.103579337,32812.6434972529,NA,NA,36076.89891
2013-12-09 19:35:00,30212.5268651131,30602.8751023119,19243.0019208333,28186.655066236,30086.7607425903,NA,NA,30402.27341
2013-11-30 06:08:00,37660.3357477232,38017.3764452539,38547.1838258333,39926.259644363,38567.8095748007,NA,NA,37567.62808
2013-12-23 11:03:00,38636.5493479267,39722.8055300235,42277.4426281818,38546.2967522669,39433.1575316093,NA,NA,39228.43214
2013-12-25 05:56:00,45078.6748644783,45982.1346656025,43425.2200621428,41587.3623523367,46020.1669575284,NA,NA,44669.72494
2013-11-28 03:09:00,14882.0545732112,14116.5871186097,16812.375829,17028.4271532213,15994.3791993275,NA,NA,14539.04243
