"time","lasso","forward","tree","Random_Forest","SVR_L","SVR_P","SVR_R","true_value"
2013-12-27 09:28:00,15172.2815921165,14826.5184050817,14110.97054,15820.7779082447,13620.9299793405,NA,NA,14787.65109
2013-11-24 13:08:00,29822.7926652081,29703.556586072,28589.283091875,29933.440681969,28997.6925083502,NA,NA,29730.78881
2013-12-16 16:59:00,15396.1101471471,14817.8802644379,13766.8282623571,13833.8848579041,13453.7905112575,NA,NA,15000.80335
2013-12-08 13:00:00,19018.2430195847,18865.9986646918,17563.5266333333,17585.9794363347,17910.0009569379,NA,NA,18676.36596
2013-12-20 13:26:00,27065.6743876774,27234.4020835369,26119.9177722727,26880.611456785,28410.3077229497,NA,NA,26969.27947
2013-12-24 04:27:00,42785.2583378081,43333.2093711125,39915.3989668421,42137.588197121,42190.5737928487,NA,NA,43139.47542
2013-12-16 20:16:00,21907.933632316,21670.6376991925,21630.676225625,21642.471988586,21997.305941247,NA,NA,21733.2789
2013-12-16 11:18:00,42542.8649889558,43023.5431631554,44629.19318,43314.2856909786,42883.8091581826,NA,NA,42945.47159
2013-11-26 18:45:00,46746.3738217504,47246.1616153002,47065.9987716667,46280.0388790354,46564.5129097209,NA,NA,47214.88094
2013-11-24 21:51:00,28960.588990102,28947.2050611402,26628.9655457895,28409.9336357103,29675.6495448161,NA,NA,28948.87563
2013-12-04 06:30:00,20130.5721721829,19890.5195826793,21037.2994708333,20254.6676121133,20979.011853905,NA,NA,19813.54768
2013-12-26 11:20:00,15027.4428928941,14293.7926292171,14742.5542045417,15758.0887996755,15709.1869985819,NA,NA,14635.95994
2013-12-11 12:43:00,45451.8056566462,45839.3999506617,47106.0902155556,46305.5979180713,44837.891747254,NA,NA,45806.98664
2013-12-14 19:38:00,21368.6473013338,21318.2116457333,18525.3490216667,19866.30811014,20356.0844144434,NA,NA,21113.74113
2013-12-28 13:04:00,43871.0930122538,44236.1664681959,44932.792342353,44678.8073154326,43142.6012118375,NA,NA,44184.64115
2013-11-24 09:38:00,47456.2731549337,47848.3494871058,44790.333556875,46090.4019166477,47925.6509249697,NA,NA,47894.50107
2013-12-09 19:17:00,33544.5681612296,33353.8795755335,35508.6193266667,34734.6992012803,34058.2148426722,NA,NA,33676.96518
2013-12-28 00:24:00,14358.7569105013,13905.2574541648,13195.4376314615,13222.8705945554,13942.4341968756,NA,NA,13885.4713
2013-12-20 09:32:00,30355.2998046779,30486.0040983898,26695.60261,30461.1582871683,30366.2561801229,NA,NA,30370.78155
2013-11-26 00:17:00,20259.3778166463,20580.8875956412,23125.0371777778,19316.9161943297,19160.2450317698,NA,NA,19997.64958
2013-12-22 07:39:00,27984.3349043873,27309.9613180735,25337.0470185714,29128.1987722977,27457.5276474058,NA,NA,27954.87812
2013-12-07 06:49:00,23712.4891026822,23978.7940998176,23892.8861873333,22147.0396642173,22998.4634873867,NA,NA,23569.64866
2013-12-21 06:02:00,35951.0969392705,36194.9786720533,38111.4261782353,36142.640976273,34967.3208035161,NA,NA,36066.62881
2013-12-17 12:19:00,31073.6856376635,30905.1123487978,36592.8876065,33560.047799945,31355.3689116016,NA,NA,31063.49787
2013-11-27 03:22:00,36092.7464760406,36825.8968458685,35216.403454,36340.539805276,36864.9630385912,NA,NA,36251.23436
2013-12-07 21:43:00,40830.7421520905,41323.0057744693,41822.170805,41204.7000146437,41328.5377058423,NA,NA,41110.69968
2013-12-24 20:17:00,41051.1577028384,41315.9891574996,42697.6577516667,41555.0813799283,39597.9970107166,NA,NA,41303.80115
2013-12-02 05:32:00,50694.8307250335,51103.8889633509,31564.247355,40426.3535309393,48480.6643368304,NA,NA,51361.45197
2013-12-04 18:18:00,15162.6982827902,14797.5423256111,14410.6165401667,15359.550902792,15001.3988277707,NA,NA,14732.29912
