"","time","lasso","forward","tree","Random_Forest","SVR_L","SVR_P","SVR_R","true_value"
"1",2013-12-01 13:08:00,40128.8981325919,39998.9286161059,42907.1246092424,40897.0293386557,40435.6974570068,NA,NA,40314.64865
"2",2013-12-23 16:59:00,13979.3821942266,14360.2758360572,12170.5398151212,12193.3811526095,15200.1915285853,NA,NA,13580.92519
"3",2013-12-15 13:00:00,22075.137904373,22075.7544309263,22920.0962931707,21752.576504619,21843.7034634734,NA,NA,21330.31618
"4",2013-12-27 13:26:00,29855.0254366323,29980.4631773814,26870.4861675385,27593.5393961843,29839.168845251,NA,NA,28310.14902
"5",2013-12-23 20:16:00,40259.9560268118,39607.9754164153,45293.200536701,42189.105071532,39926.6306656257,NA,NA,41984.18103
"6",2013-12-23 11:18:00,38609.0486648022,38092.5139916454,38811.222806,39254.070053098,39085.6657817212,NA,NA,39790.03643
"7",2013-12-03 18:45:00,14547.7453489972,14355.6821599181,14763.7511588118,14622.3118125587,14654.8912434563,NA,NA,13889.78866
"8",2013-12-01 21:51:00,14379.1388282032,14942.4562586571,17428.6355795522,15664.6756246022,13523.869362597,NA,NA,15411.12136
"9",2013-12-11 06:30:00,36966.7614993129,37271.477792895,32990.8638023333,35482.4812131637,37585.2595708817,NA,NA,33847.37738
"10",2013-12-18 12:43:00,19036.8298557196,19328.7774826343,18375.1699483636,19517.4006446863,19022.825766801,NA,NA,19886.46857
"11",2013-12-21 19:38:00,47067.2748057464,47500.2137754021,48520.599947027,46791.7550069517,47498.0850560266,NA,NA,47407.29923
"12",2013-12-01 09:38:00,34375.9568013193,34691.9852567241,32125.2925692647,33538.0805405393,34250.7203848456,NA,NA,33536.5215
"13",2013-12-16 19:17:00,20668.6989546544,21236.9207976502,15763.6785573404,19333.6369831393,21292.8367529462,NA,NA,19357.93309
"14",2013-12-27 09:32:00,16557.4128741957,15192.6824622701,15623.9085775806,14406.5181731637,17253.807603405,NA,NA,14842.43339
"15",2013-12-03 00:17:00,22354.631084569,21732.5212476838,23360.8401794915,23336.0804797677,22285.0685282653,NA,NA,21286.89906
"16",2013-12-14 06:49:00,23366.679083479,23597.5340873209,22461.7434962295,22769.1903620057,23211.5460618955,NA,NA,21805.2101
"17",2013-12-28 06:02:00,7872.29426260594,8221.30312791347,13793.4813341693,10353.068448085,8305.85788054333,NA,NA,7724.016685
"18",2013-12-24 12:19:00,13926.713593572,13686.100776339,12629.4432235962,14703.6630594343,13545.7902146258,NA,NA,14272.76813
"19",2013-12-04 03:22:00,11877.1914572525,10468.1390568629,13094.9626927358,10929.8643258895,10780.7414469824,NA,NA,10354.39171
"20",2013-12-14 21:43:00,11620.8914493894,11824.1669625854,12615.1784624474,14594.6269989117,10558.0610668801,NA,NA,13546.07743
"21",2013-12-09 05:32:00,10904.4174690037,10539.8451120742,12805.6787394318,14811.6308254157,10158.4588303886,NA,NA,14010.51874
"22",2013-12-11 18:18:00,28197.2802665043,28244.8434931739,26928.4793105555,30256.256533016,27823.5003503572,NA,NA,29350.8128
"23",2013-12-20 15:15:00,29527.4670338472,29586.4910395689,28344.4725133898,29788.5909257563,28607.2977123048,NA,NA,29201.08801
"24",2013-12-14 23:39:00,12837.027527,13428.1694603418,13373.6051461912,14359.3163070203,11719.4351995551,NA,NA,13977.9735
"25",2013-12-24 14:53:00,15694.7650819802,15731.7203704911,12933.8683154333,15226.1236093793,16926.8413244169,NA,NA,14370.21274
"26",2013-12-18 23:46:00,23800.9024526739,23712.175932051,23057.8501249153,22104.729424299,24176.4217995721,NA,NA,20735.43817
"27",2013-12-08 11:36:00,18013.5967847627,18086.6077019047,18211.062962,19996.436262792,17347.4295053192,NA,NA,19867.16395
"28",2013-12-10 00:03:00,11694.7036397281,11529.8984308313,15109.140093906,11363.3334334925,11108.0662172692,NA,NA,10478.57903
"29",2013-12-16 18:00:00,18659.5098854589,18468.8823001695,15266.6717402432,17226.4029859623,19230.2016674082,NA,NA,16277.21011
"30",2013-12-08 17:32:00,14920.3862670573,15272.4973018836,15530.5994133652,18993.44642915,13912.7270155538,NA,NA,18995.54
"31",2013-12-08 18:45:00,8143.04933359617,7772.76129681618,15020.5610535652,10473.0451027881,7296.41149969457,NA,NA,8680.250396
