time,lasso,forward,tree,Random_Forest,SVR_L,SVR_P,SVR_R,true_value
2013/12/27 09:28,13745.86231,14931.29415,21766.64534,18762.14448,12464.01702,NA,NA,14866.2884
2013/11/24 13:08,29966.77102,29146.40586,27378.52541,28943.86577,30440.62736,NA,NA,29529.7667
2013/12/16 16:59,15163.86711,18964.52057,14986.85413,15995.30702,17246.05485,NA,NA,14704.18848
2013/12/8 13:00,18896.37761,19953.09367,17015.90365,16749.92645,17137.90135,NA,NA,20435.66911
2013/12/20 13:26,27394.40752,26919.38841,20682.001,25918.63215,28112.88856,NA,NA,26736.80285
2013/12/24 04:27,43050.95776,44204.92352,42341.33,41094.15112,41918.94653,NA,NA,44175.67224
2013/12/16 20:16,21781.3667,20375.37413,27211.09179,20859.78102,21358.57948,NA,NA,21415.56195
2013/12/16 11:18,42547.11189,42371.49856,46651.4182,40157.78925,42326.04831,NA,NA,43167.4236
2013/11/26 18:45,48066.73285,48681.12011,45218.04136,46782.12494,48144.28042,NA,NA,47437.93732
2013/11/24 21:51,28951.56031,29143.25972,19985.80631,27118.0451,28357.17165,NA,NA,27772.69152
2013/12/4 06:30,20025.05301,19272.19545,18357.4307,19521.49326,18876.24938,NA,NA,20198.73109
2013/12/26 11:20,14402.04413,13269.22532,24854.87501,20300.92652,10447.07491,NA,NA,12682.94666
2013/12/11 12:43,46800.0955,46429.61414,40810.77992,42103.98562,48351.77056,NA,NA,45854.61579
2013/12/14 19:38,21580.36314,20805.59754,22916.05845,22153.556,21382.80866,NA,NA,22225.41455
2013/12/28 13:04,44167.58394,43386.96696,42536.84709,46180.86475,44578.9117,NA,NA,43280.9241
2013/11/24 09:38,47739.20427,47821.58406,46773.89405,46338.1123,48292.90705,NA,NA,47981.81919
2013/12/9 19:17,33585.11717,31890.61062,39521.72668,36506.69262,34360.81763,NA,NA,31653.14636
2013/12/28 00:24,14018.30594,13999.42556,14841.45856,14159.16206,14417.94882,NA,NA,14100.1483
2013/12/20 09:32,31272.03925,31469.4969,38311.748,30613.52588,31789.1502,NA,NA,29880.18861
