time,lasso,forward,tree,Random_Forest,SVR_L,SVR_P,SVR_R,true_value
2013/12/27 09:28,13871.16573,14368.50425,15304.1608,14999.26991,12113.76473,NA,NA,14866.2884
2013/11/24 13:08,30059.69088,29491.4999,27502.12449,28603.26676,30781.41836,NA,NA,29529.7667
2013/12/16 16:59,15302.63408,15007.62897,13147.29071,13780.29289,15281.70169,NA,NA,14704.18848
2013/12/8 13:00,19847.86222,19707.63532,14870.06074,18326.79643,19260.95867,NA,NA,20435.66911
2013/12/20 13:26,26778.50491,26687.17081,24911.41661,26203.97092,27156.23965,NA,NA,26736.80285
2013/12/24 04:27,44307.09298,45322.98894,45843.17457,43818.6255,42431.54108,NA,NA,44175.67224
2013/12/16 20:16,21402.51355,21589.96952,23800.15716,22582.54192,21838.4492,NA,NA,21415.56195
2013/12/16 11:18,42853.40859,42923.68722,39467.1387,41495.7642,42902.22965,NA,NA,43167.4236
2013/11/26 18:45,47793.50531,47963.89956,46849.17387,47833.77937,47569.32522,NA,NA,47437.93732
2013/11/24 21:51,28516.11515,28144.00969,27996.58086,28289.15342,28756.22941,NA,NA,27772.69152
2013/12/4 06:30,19879.61703,20814.82376,19317.7994,20066.90975,20967.46518,NA,NA,20198.73109
2013/12/26 11:20,12098.99639,12864.82705,14882.70414,14411.32736,12904.05814,NA,NA,12682.94666
2013/12/11 12:43,46409.88365,46706.65014,46331.53615,45198.15527,48036.6683,NA,NA,45854.61579
2013/12/14 19:38,21778.26108,21625.06223,23121.86059,21925.42108,21948.34879,NA,NA,22225.41455
2013/12/28 13:04,43877.79061,43655.17687,43176.6183,43114.64649,43927.10344,NA,NA,43280.9241
2013/11/24 09:38,47539.76303,47659.26468,45827.465,47645.38342,47249.24491,NA,NA,47981.81919
2013/12/9 19:17,32440.11454,32075.13508,28771.34736,34672.2517,33643.00119,NA,NA,31653.14636
2013/12/28 00:24,13476.95495,13797.38415,12013.67605,13319.1654,12396.86103,NA,NA,14100.1483
2013/12/20 09:32,31572.14939,31318.5507,33755.76272,30174.02657,32757.25658,NA,NA,29880.18861
2013/11/26 00:17,20942.57106,20690.67914,18143.55666,19316.74968,21445.59679,NA,NA,21185.87067
2013/12/22 07:39,25949.2164,25546.11486,27582.83876,29973.02784,25530.96335,NA,NA,25648.97106
2013/12/7 06:49,25502.73329,25753.15059,25058.86879,23387.20217,25152.02854,NA,NA,24416.44499
2013/12/21 06:02,36048.86112,36081.25392,34993.02859,34951.12701,35667.80043,NA,NA,36795.30662
2013/12/17 12:19,30463.65395,30206.32732,29830.52785,30981.98924,30789.89396,NA,NA,30648.54597
2013/11/27 03:22,36845.32743,36393.60536,37612.40842,36346.29662,36805.29759,NA,NA,37573.95678
2013/12/7 21:43,41942.38873,42350.5742,38727.11748,40074.88438,41096.49887,NA,NA,42273.1198
2013/12/24 20:17,41614.07628,41623.77266,42081.7729,42267.94399,41344.52953,NA,NA,41345.88573
2013/12/2 05:32,51407.20218,51780.38528,39248.83942,42301.89644,50789.96349,NA,NA,51635.14753
2013/12/4 18:18,14868.99595,14499.90385,12572.15757,13040.79318,15042.50215,NA,NA,14731.11093
2013/12/24 06:36,36459.06727,35741.38397,34609.75439,37699.91796,37763.11374,NA,NA,35004.90007
2013/12/13 15:15,24907.70818,24653.25085,24018.89843,26879.14272,24598.90377,NA,NA,24014.39096
2013/12/7 23:39,44195.6168,44406.80218,47519.06462,45736.26569,44476.3927,NA,NA,43961.64168
2013/12/17 14:53,39081.63499,39179.17612,36838.67314,40098.42335,39577.3852,NA,NA,39122.10502
2013/12/11 23:46,22747.75984,22467.01592,26597.71904,22912.54472,22678.81994,NA,NA,22751.36501
2013/12/1 11:36,45897.27629,45079.19868,44400.8648,44097.25304,46150.45646,NA,NA,45852.02714
2013/12/3 00:03,18882.73478,19363.85661,19112.19236,18678.99387,18296.25545,NA,NA,19064.93997
2013/12/9 18:00,37847.65442,37680.20642,34863.2028,38311.75324,38006.78911,NA,NA,38249.23604
2013/12/1 17:32,14505.44104,13912.35088,16519.88694,14181.12536,14580.1705,NA,NA,14745.08435
2013/12/1 18:45,15224.95993,15583.63941,17877.02087,15005.78709,14630.59147,NA,NA,15698.79478
2013/12/21 01:23,41136.91931,42293.61931,45251.98285,43637.38534,39768.93459,NA,NA,43353.30441
