time,lasso,forward,tree,Random_Forest,SVR_L,SVR_P,SVR_R,true_value
2013/12/27 09:28,14784.47802,16252.04583,14667.47299,14637.00027,13524.93411,NA,NA,14866.2884
2013/11/24 13:08,29666.04538,29911.38857,30388.91881,30097.7155,30010.28074,NA,NA,29529.7667
2013/12/16 16:59,15515.23524,14926.08272,16404.53943,15023.95457,14963.25029,NA,NA,14704.18848
2013/12/8 13:00,19306.54626,20896.64422,19615.88197,18700.76608,18725.16325,NA,NA,20435.66911
2013/12/20 13:26,27225.46659,26950.53112,25880.92639,27613.97457,29691.36615,NA,NA,26736.80285
2013/12/24 04:27,43236.99891,44144.13521,43269.05057,43508.62457,43383.14778,NA,NA,44175.67224
2013/12/16 20:16,21393.93141,21809.88363,22626.33185,21972.91044,20954.07013,NA,NA,21415.56195
2013/12/16 11:18,43094.46658,42614.91975,38673.91843,41295.81247,42886.55246,NA,NA,43167.4236
2013/11/26 18:45,47183.79158,46859.4435,47242.93144,46400.07994,44588.3024,NA,NA,47437.93732
2013/11/24 21:51,28706.9994,27654.24733,31115.55366,29407.47247,28370.59169,NA,NA,27772.69152
2013/12/4 06:30,19802.0798,19795.21424,23719.88291,19544.40571,19245.6143,NA,NA,20198.73109
2013/12/26 11:20,14531.75225,10461.94629,17527.80492,16502.99547,16379.89179,NA,NA,12682.94666
2013/12/11 12:43,44722.48771,46249.85343,45579.75481,45830.26475,41117.69138,NA,NA,45854.61579
2013/12/14 19:38,21440.78975,21173.65435,19917.45127,21426.39489,20907.69712,NA,NA,22225.41455
2013/12/28 13:04,43646.51965,43718.50312,47341.649,43947.82452,42077.81386,NA,NA,43280.9241
2013/11/24 09:38,48002.13157,48020.52186,46014.33124,46754.04695,48091.39147,NA,NA,47981.81919
2013/12/9 19:17,32847.1013,32832.36644,36284.66697,35530.53114,30972.12075,NA,NA,31653.14636
2013/12/28 00:24,13719.30553,13829.03058,14059.06115,13711.43929,13274.03107,NA,NA,14100.1483
2013/12/20 09:32,31442.97902,27214.35928,33281.32625,30483.3964,31172.32342,NA,NA,29880.18861
2013/11/26 00:17,20268.22486,20505.84738,19842.46842,19833.93965,20608.89686,NA,NA,21185.87067
2013/12/22 07:39,27709.6109,25972.92221,30960.59392,29714.53018,29189.05072,NA,NA,25648.97106
2013/12/7 06:49,23706.38581,25185.67187,24956.13842,21595.87591,22187.456,NA,NA,24416.44499
2013/12/21 06:02,35568.74239,36736.44781,35898.78364,35650.25082,36139.9843,NA,NA,36795.30662
2013/12/17 12:19,30585.68169,30879.40398,29058.6205,32223.34865,31222.65187,NA,NA,30648.54597
