,time,lasso,forward,tree,Random_Forest,SVR_L,SVR_P,SVR_R,true_value
1,2013/12/27 9:28,14360.61228,14348.07245,13790.39691,14590.55495,14334.34523,NA,NA,14866.2884
2,2013/11/24 13:08,29883.59166,29719.08389,26818.93813,29429.15597,30266.61535,NA,NA,29529.7667
3,2013/12/16 16:59,14838.14502,14795.71898,12876.62769,15087.20883,14755.88394,NA,NA,14704.18848
4,2013/12/8 13:00,19977.27485,19798.52983,14559.61467,18496.49638,19555.66316,NA,NA,20435.66911
5,2013/12/20 13:26,26370.19031,26838.06507,27857.08066,27046.77612,26625.24093,NA,NA,26736.80285
6,2013/12/24 4:27,44082.9884,44823.39698,42265.01325,43710.83247,43640.54275,NA,NA,44175.67224
7,2013/12/16 20:16,21443.80287,21716.54262,23274.70139,22193.4918,21442.30201,NA,NA,21415.56195
8,2013/12/16 11:18,42885.28437,42866.89881,46610.9933,42704.98995,42879.15024,NA,NA,43167.4236
9,2013/11/26 18:45,47217.08618,47773.3406,47521.62479,47289.26337,46833.47559,NA,NA,47437.93732
10,2013/11/24 21:51,28593.43235,28110.65504,27898.25306,29261.64663,28261.39727,NA,NA,27772.69152
11,2013/12/4 6:30,19745.87582,20204.9624,18379.98228,20456.75737,19319.55536,NA,NA,20198.73109
12,2013/12/26 11:20,12493.39241,12687.77235,14797.0643,14985.13742,12918.63521,NA,NA,12682.94666
13,2013/12/11 12:43,45784.82032,46185.41419,47723.74613,45680.12856,45938.10663,NA,NA,45854.61579
14,2013/12/14 19:38,22082.94738,21928.12741,22276.50742,21370.71272,22097.30808,NA,NA,22225.41455
15,2013/12/28 13:04,43882.71145,43707.27366,42055.07229,43572.86744,43986.71196,NA,NA,43280.9241
16,2013/11/24 9:38,47358.06796,47726.04938,47677.2898,47862.59498,47442.1817,NA,NA,47981.81919
17,2013/12/9 19:17,32277.0684,32092.64096,35483.94738,33052.65999,32383.94695,NA,NA,31653.14636
18,2013/12/28 0:24,13738.86368,13831.8823,14698.51217,14129.55767,12998.23007,NA,NA,14100.1483
19,2013/12/20 9:32,31122.17162,30672.75852,28493.24666,30016.93658,31356.21277,NA,NA,29880.18861
20,2013/11/26 0:17,21214.57798,21078.61235,17910.32487,19660.98357,20963.10807,NA,NA,21185.87067
21,2013/12/22 7:39,25737.34008,25568.26823,27986.73989,28135.16015,25842.88491,NA,NA,25648.97106
22,2013/12/7 6:49,24932.30704,25331.5583,21795.86399,24314.30936,24947.69932,NA,NA,24416.44499
23,2013/12/21 6:02,35977.70164,36148.68296,38603.51778,35943.18222,36530.1096,NA,NA,36795.30662
24,2013/12/17 12:19,30206.22161,30334.86976,26260.82207,31141.15895,29868.76778,NA,NA,30648.54597
25,2013/11/27 3:22,36899.60555,36631.83822,33666.15791,35736.22392,37205.80624,NA,NA,37573.95678
26,2013/12/7 21:43,41631.19583,41901.03099,38254.63454,41923.00806,41577.69842,NA,NA,42273.1198
27,2013/12/24 20:17,41430.82798,41445.4705,42280.82111,41574.8347,41018.31068,NA,NA,41345.88573
28,2013/12/2 5:32,51520.06295,51359.64512,47744.55701,50523.29161,51896.54164,NA,NA,51635.14753
29,2013/12/4 18:18,14506.77839,14533.71292,15347.76051,14804.27348,15364.65574,NA,NA,14731.11093
30,2013/12/24 6:36,36100.78741,35609.29759,34823.10587,37013.6363,36674.72328,NA,NA,35004.90007
31,2013/12/13 15:15,25139.59189,24793.23363,23530.90127,26455.21779,25374.35738,NA,NA,24014.39096
32,2013/12/7 23:39,43995.85033,44274.8507,43651.00638,44502.50229,44329.91501,NA,NA,43961.64168
33,2013/12/17 14:53,38885.43026,39015.84876,42615.50839,39674.47174,38875.13978,NA,NA,39122.10502
34,2013/12/11 23:46,22436.45035,22439.44291,22560.56874,22659.95818,22500.6951,NA,NA,22751.36501
35,2013/12/1 11:36,45801.19382,45159.12337,45272.0989,45121.77978,46388.50224,NA,NA,45852.02714
36,2013/12/3 0:03,19075.93601,19286.08174,18762.45804,19060.99393,18653.27897,NA,NA,19064.93997
37,2013/12/9 18:00,37743.138,37715.33599,38417.57993,38054.4076,37982.02886,NA,NA,38249.23604
38,2013/12/1 17:32,14102.48396,14024.73309,13695.24098,13393.06252,13695.32732,NA,NA,14745.08435
39,2013/12/1 18:45,15294.20886,15537.38045,12560.8759,14489.64436,15734.55993,NA,NA,15698.79478
40,2013/12/21 1:23,42415.50003,42667.65161,45383.4361,43424.86735,41973.80967,NA,NA,43353.30441
41,2013/11/24 18:06,36581.10235,37099.85122,38874.17363,37299.28173,36781.80429,NA,NA,37042.206
42,2013/11/25 7:19,40499.34385,40688.50874,42743.63009,41446.78929,39899.88926,NA,NA,41350.62632
43,2013/12/27 12:45,33609.88175,33477.55651,34151.09454,34098.56838,33898.80942,NA,NA,33523.44555
44,2013/11/24 18:44,27075.122,27714.8563,28543.54971,27774.90108,26394.16635,NA,NA,27479.61443
45,2013/12/11 0:13,22121.26913,21605.63515,23296.86829,21786.26439,23128.44072,NA,NA,21298.67986
46,2013/12/10 22:15,14575.57637,14761.43032,12580.24339,14498.64931,14328.70317,NA,NA,15996.90115
47,2013/12/25 0:40,16041.98033,16180.56799,18443.70873,16819.23069,16200.35044,NA,NA,16192.53988
48,2013/12/2 6:06,50757.74604,51404.99374,47485.51678,50399.59959,50383.66884,NA,NA,50214.35344
49,2013/12/27 9:21,14703.61587,14866.01405,15212.95665,14849.0252,15413.61642,NA,NA,14794.51554
50,2013/12/4 9:35,15472.99008,15411.21393,14490.54495,14108.27559,16379.40571,NA,NA,15664.83062
