time,lasso,forward,tree,Random_Forest,SVR_L,SVR_P,SVR_R,true_value
2013/12/27 09:28,10130.37338,10412.02855,18803.29594,16133.51822,9116.273206,NA,NA,14829.91967
2013/11/24 13:08,30842.5077,29486.21707,24255.33654,28984.16923,31817.91937,NA,NA,26984.15622
2013/12/16 16:59,16453.54066,18026.27455,23268.83734,20635.16546,15234.11583,NA,NA,13672.62172
2013/12/8 13:00,22680.45565,22957.32198,27012.91144,20652.43103,22344.4403,NA,NA,25167.6864
2013/12/20 13:26,27584.83167,26507.95192,28293.68844,27335.76424,29281.20932,NA,NA,27141.64196
2013/12/24 04:27,46525.09474,49761.85091,40767.39169,42763.60461,50192.65203,NA,NA,48047.31337
2013/12/16 20:16,22330.60703,21324.03852,22186.71126,22383.40705,20497.82594,NA,NA,21136.8387
2013/12/16 11:18,41185.96747,41247.63275,44260.2113,41974.28866,40824.78287,NA,NA,44276.65595
2013/11/26 18:45,44903.64539,46094.76863,46603.79806,43632.16168,47981.62155,NA,NA,47682.1347
2013/11/24 21:51,27025.3614,24456.70163,25090.87248,25924.10205,32065.97325,NA,NA,24236.54245
2013/12/4 06:30,22151.48906,20897.4805,19934.79114,20287.49455,20302.62506,NA,NA,18334.40558
2013/12/26 11:20,12265.82313,11060.143,15768.07986,15023.40692,13743.56095,NA,NA,10103.60701
2013/12/11 12:43,40066.0316,41485.29926,48027.23885,41879.73911,38831.286,NA,NA,45961.56936
2013/12/14 19:38,22681.9433,26393.52397,28809.52024,23092.58742,23983.21224,NA,NA,17147.10717
2013/12/28 13:04,45700.17383,45200.79992,35684.71895,41474.50409,46350.88821,NA,NA,43869.03213
2013/11/24 09:38,47502.49689,50072.86442,41795.76439,44828.12307,49892.67135,NA,NA,47991.4185
2013/12/9 19:17,31552.97043,28023.00871,27862.81729,33230.21739,31719.95192,NA,NA,28507.69021
2013/12/28 00:24,13709.47124,14602.93768,16847.61829,15992.87603,12745.14723,NA,NA,12371.29439
2013/12/20 09:32,33525.96887,32996.79245,36527.59486,34703.45837,28983.18108,NA,NA,30501.28605
2013/11/26 00:17,24544.42661,23989.86256,22387.34036,19074.98639,28572.44775,NA,NA,29705.3417
2013/12/22 07:39,24237.7308,20055.27506,32263.56333,30906.67267,18968.39452,NA,NA,20774.00403
