time,lasso,forward,tree,Random_Forest,SVR_L,SVR_P,SVR_R,true_value
2013/12/27 09:28,17497.19051,13521.46968,19973.62566,19587.8591,11973.00801,NA,NA,14829.91967
2013/11/24 13:08,23309.57772,26056.34192,27106.47122,22070.12972,23200.66899,NA,NA,26984.15622
2013/12/16 16:59,15018.66716,13755.10867,13707.65936,14356.19564,19692.2966,NA,NA,13672.62172
2013/12/8 13:00,22364.45209,26884.75006,18977.6313,18880.57406,20396.27413,NA,NA,25167.6864
2013/12/20 13:26,27322.79015,19925.7785,32336.07274,29384.41647,25865.77996,NA,NA,27141.64196
2013/12/24 04:27,46873.024,47977.11037,43162.70678,42489.53344,47817.10154,NA,NA,48047.31337
2013/12/16 20:16,21992.24675,21755.04794,18323.22553,20880.90785,22824.47957,NA,NA,21136.8387
2013/12/16 11:18,41081.48281,38946.26039,45049.70199,43137.61234,47212.4477,NA,NA,44276.65595
2013/11/26 18:45,45526.2464,49445.41152,38404.57169,41873.781,42781.83916,NA,NA,47682.1347
2013/11/24 21:51,27766.1703,36584.32045,19159.74158,23317.31427,27823.34358,NA,NA,24236.54245
2013/12/4 06:30,22003.54159,27012.92655,20010.23171,20527.50968,22944.70523,NA,NA,18334.40558
2013/12/26 11:20,11899.04319,9493.090917,17592.19914,19322.26446,10850.31774,NA,NA,10103.60701
2013/12/11 12:43,39766.71228,43910.16864,36198.21754,35886.17316,43406.66493,NA,NA,45961.56936
2013/12/14 19:38,25530.31961,23778.71272,21013.80825,25000.79753,28447.29406,NA,NA,17147.10717
2013/12/28 13:04,40684.02463,48172.72119,44054.53433,42226.86349,40086.95763,NA,NA,43869.03213
2013/11/24 09:38,41249.85605,42830.97103,33469.98959,36291.82824,44815.48702,NA,NA,47991.4185
2013/12/9 19:17,34881.43824,33501.34839,21625.58005,34747.02824,39743.86792,NA,NA,28507.69021
2013/12/28 00:24,16038.3639,-18103.04011,16516.24611,15000.25197,8001.199291,NA,NA,12371.29439
2013/12/20 09:32,34252.37468,36768.50842,27887.04075,30511.08488,36654.80756,NA,NA,30501.28605
2013/11/26 00:17,21450.61866,23418.14045,21592.75142,20937.21126,24285.63812,NA,NA,29705.3417
2013/12/22 07:39,22012.23726,25109.22433,36538.06752,29199.38904,21201.77792,NA,NA,20774.00403
2013/12/7 06:49,26191.67259,27856.12177,17906.58641,20372.91481,28202.95521,NA,NA,28591.8603
2013/12/21 06:02,30843.2775,57170.20511,40203.60339,35150.74654,30143.86633,NA,NA,42655.43617
2013/12/17 12:19,30191.11655,18658.36185,21192.68306,29983.65707,32572.52331,NA,NA,29790.04665
2013/11/27 03:22,39474.25945,41563.65492,29658.2542,40999.25281,42545.07956,NA,NA,39654.6372
2013/12/7 21:43,38218.74662,50736.62012,42094.66165,42059.73727,44029.05784,NA,NA,48046.17553
2013/12/24 20:17,39135.90912,43041.72481,39333.42031,41908.2866,40043.02271,NA,NA,46072.06987
2013/12/4 18:18,15382.42429,5851.914463,17970.36598,17601.25125,15183.86563,NA,NA,14723.08711
