"","time","lasso","forward","tree","Random_Forest","SVR_L","SVR_P","SVR_R","true_value"
"1",2013-12-27 09:28:00,12759.0030885746,13942.647046792,13261.6618233333,14862.3338769123,13655.0498309883,NA,NA,14809.34047
"2",2013-11-24 13:08:00,29875.7387878344,29472.1395600671,25755.9672458571,28442.917655545,28591.2529348644,NA,NA,27959.37127
"3",2013-12-16 16:59:00,14949.3550134189,14971.8298691638,13261.2816589286,15677.4889788205,15990.949244833,NA,NA,14626.56211
"4",2013-12-08 13:00:00,20398.6848379826,21195.259116749,17342.6133927536,18678.9333918334,20205.6708159582,NA,NA,21641.54376
"5",2013-12-20 13:26:00,28985.0000687789,29247.0932956929,27301.0078938889,26886.4060620733,23924.0837906464,NA,NA,27295.80388
"6",2013-12-24 04:27:00,44745.018268877,45148.1614186347,42785.2849021429,43546.944775832,45836.2308700178,NA,NA,45756.21883
"7",2013-12-16 20:16:00,20837.0344120791,20997.4245970862,23371.6363381132,22622.5788055293,19699.8185651479,NA,NA,21537.30445
"8",2013-12-16 11:18:00,43205.0188067715,42838.1594712855,39228.153488913,42318.806114289,43007.0524818301,NA,NA,43389.34042
"9",2013-11-26 18:45:00,47200.7836768109,48094.6504662284,47101.7587628571,46229.2219170033,45729.0824254902,NA,NA,47676.33112
"10",2013-11-24 21:51:00,28454.8133898634,27477.2689575157,32197.3626361644,31111.200723204,26529.6100611604,NA,NA,25673.6871
"11",2013-12-04 06:30:00,19593.5418956806,20385.8845435101,22706.8266008065,21052.909464779,18114.4994096419,NA,NA,20498.85654
"12",2013-12-26 11:20:00,10995.1029793607,11514.8532873193,14973.3527697935,15533.4114390481,11241.3089907617,NA,NA,10941.20258
"13",2013-12-11 12:43:00,44786.7820353961,46334.0957706334,45749.2109838571,44557.6213928107,45397.8248441997,NA,NA,45932.00622
"14",2013-12-14 19:38:00,22590.2915975403,23072.5916005205,25121.9189695349,22625.4336665663,21811.1871233972,NA,NA,22553.9647
"15",2013-12-28 13:04:00,43397.6203166182,42820.1161639618,45888.0861147273,43899.836210997,44339.1455302,NA,NA,43261.98023
"16",2013-11-24 09:38:00,48004.6696896333,47756.8154958879,46720.4579543103,47335.4038113793,47510.9716897063,NA,NA,47972.85044
"17",2013-12-09 19:17:00,31328.4493328943,30915.2309979254,35907.419167757,33017.556726083,31600.6851988978,NA,NA,30604.5114
"18",2013-12-28 00:24:00,14198.0974444162,14230.1268014705,13677.8889313016,14749.9976901981,16085.4289304751,NA,NA,13979.30839
"19",2013-12-20 09:32:00,31389.8260010685,30275.9859333352,25957.1844009722,29960.0968048243,28280.4542185581,NA,NA,28273.47331
"20",2013-11-26 00:17:00,21656.3901948946,21631.1659891323,17742.2988585455,20808.2320722834,23450.6713103936,NA,NA,22736.21484
"21",2013-12-22 07:39:00,24092.1750918047,24084.233414433,25909.7311283158,25853.6006879437,23874.7663481987,NA,NA,23904.71921
"22",2013-12-07 06:49:00,25859.2800176956,26161.955143135,23852.2290669231,25001.8135082153,26244.4344138095,NA,NA,25679.12918
"23",2013-12-21 06:02:00,35587.9838423027,36490.2912045323,35254.0419711828,36222.085117571,37458.8878581607,NA,NA,37714.08608
"24",2013-12-17 12:19:00,30103.8243498394,29846.3593979327,33567.0663444681,30798.3753458087,30257.00911977,NA,NA,30016.41188
"25",2013-11-27 03:22:00,37212.3231827074,36848.2678612783,36455.3263372941,37378.8330671586,36886.283184556,NA,NA,38185.90923
"26",2013-12-07 21:43:00,42518.9965790937,42063.2466622857,42348.0659323077,41333.5274578207,42575.0383077901,NA,NA,43279.8708
"27",2013-12-24 20:17:00,41138.1985721417,42259.8961576806,38986.8427252542,41238.5353312707,41222.5060054998,NA,NA,43216.21022
"28",2013-12-02 05:32:00,50873.0970985168,51311.9090240329,46152.64967,48400.3393912229,51722.3849049995,NA,NA,51597.5798
"29",2013-12-04 18:18:00,14500.2307081038,15922.9030541761,13237.6436137959,15606.0782713403,16441.2816832669,NA,NA,14705.2891
"30",2013-12-24 06:36:00,36036.1667672916,34589.6336637151,36600.3432757292,35941.8230413873,37455.2419251997,NA,NA,33597.54921
"31",2013-12-13 15:15:00,24689.8452049941,23266.7463390631,27524.6612851219,25404.1347144177,24717.2236584423,NA,NA,22386.54268
"32",2013-12-07 23:39:00,43426.0130809513,43459.2600132848,46418.8085110294,44239.1166172103,42312.7879140435,NA,NA,42375.70762
"33",2013-12-17 14:53:00,37128.1544322639,37564.6362875421,38246.7551305,40029.8244305157,37753.7025781155,NA,NA,38450.17229
"34",2013-12-11 23:46:00,22825.6419306868,22606.179940848,22135.1616484127,23113.417292929,23279.7406484322,NA,NA,22394.11264
"35",2013-12-01 11:36:00,45445.9643320705,45623.7794774718,47131.6620766176,44856.4664965606,46128.7208938178,NA,NA,46511.22297
"36",2013-12-03 00:03:00,19408.7391862305,19536.3529608159,15191.1625078958,19926.410479107,19029.6567111562,NA,NA,20037.06446
"37",2013-12-09 18:00:00,38248.6505064099,38249.8392667373,35357.0248990278,36802.517539663,37665.9433729112,NA,NA,39162.85382
"38",2013-12-01 17:32:00,14415.4355408706,14387.3511406901,14628.2257632614,13546.1902327806,13364.957747527,NA,NA,14586.17379
"39",2013-12-01 18:45:00,15309.7861536408,19436.9059285086,13921.1871968529,14837.704340064,17617.5008794825,NA,NA,17451.63992
"40",2013-12-21 01:23:00,41346.5719021175,41685.7270364944,45540.535168875,43044.592938112,42074.2473889018,NA,NA,43394.7153
"41",2013-11-24 18:06:00,36202.3952392569,37425.3384220239,35674.0874720253,36777.4996053606,34384.330146139,NA,NA,36302.16297
"42",2013-11-25 07:19:00,40946.9444240114,41006.8623522178,36055.1921022917,40085.7283188736,41878.92178461,NA,NA,42251.75701
"43",2013-12-27 12:45:00,33716.7111236058,34121.399016207,32680.8867197778,32757.8978288417,34590.3975572854,NA,NA,33660.59751
"44",2013-11-24 18:44:00,27209.9941356311,28503.3481163753,26193.5045395523,27444.3788465637,27628.4155395612,NA,NA,26250.60028
"45",2013-12-11 00:13:00,22674.9244402792,21696.1683221723,26085.8135926667,23875.813728802,20685.564868682,NA,NA,21271.69271
"46",2013-12-10 22:15:00,15527.5199520899,15623.9875562737,16169.685825377,13913.889928866,12965.5437325203,NA,NA,17390.11038
"47",2013-12-25 00:40:00,17190.4506355897,17922.1430287351,18019.3781157353,16537.3869338457,18616.8966695923,NA,NA,16013.73878
"48",2013-12-02 06:06:00,50545.7332060561,49928.231505398,46308.1790454545,48723.156933736,47154.9553557586,NA,NA,50291.36442
"49",2013-12-27 09:21:00,13178.0474759231,14876.1339806815,13969.6651273279,14632.8353462317,14016.1146056305,NA,NA,14810.37518
"50",2013-12-04 09:35:00,16401.9733865807,16629.9703757616,13470.5183268116,14687.2016086964,15164.059557297,NA,NA,15911.39475
"51",2013-12-15 12:24:00,24547.5462483984,23397.7463255474,28426.0971548148,26382.5161216563,22172.5945893147,NA,NA,23286.60332
"52",2013-12-09 18:32:00,36628.0227010603,36074.533359698,38066.0577205172,38701.5636368723,36773.8367337122,NA,NA,36653.75659
"53",2013-12-08 02:29:00,34776.3564762656,33750.6442093089,37362.2868698305,36041.4270366323,33302.7363850301,NA,NA,34469.41632
"54",2013-11-27 16:49:00,13033.6215849431,15250.755758176,15131.9383343,13420.3593558672,13039.6678311871,NA,NA,13286.24807
"55",2013-12-05 17:45:00,17377.2113716625,16544.5196546391,15029.1171810385,16570.5750976437,17813.8249028849,NA,NA,15350.78525
"56",2013-12-23 23:47:00,15730.8422971414,15212.2154523523,12812.6604084032,13869.530189375,15743.8294192563,NA,NA,14492.10536
"57",2013-12-06 11:46:00,32329.0810612733,31381.2152349716,33965.2332191954,33416.087062211,31152.1455562161,NA,NA,30454.78905
"58",2013-12-23 18:41:00,33157.7629366781,32702.61209674,32578.9403268889,33168.1823673483,30967.1386712241,NA,NA,35418.67017
"59",2013-12-14 12:04:00,48807.2396498091,49004.1348895696,44743.5576668182,46977.3593533714,49656.8953340781,NA,NA,48392.30489
"60",2013-12-24 03:50:00,37019.7614967663,37911.6169361266,35463.8007584,33687.5202535196,36861.4944451597,NA,NA,37470.59553
"61",2013-12-09 19:35:00,29898.4479976724,30753.2089065394,28301.279427027,29320.6277001637,29878.8583910652,NA,NA,28971.3003
"62",2013-11-30 06:08:00,39319.298227587,39649.0362886247,34871.0119862,37858.4373947767,38579.9451802162,NA,NA,39991.38867
"63",2013-12-23 11:03:00,37089.9174251539,40559.0455217495,34244.43852,37415.0716771984,39540.2491168351,NA,NA,40101.10244
"64",2013-12-25 05:56:00,47666.9275533082,48368.294277053,45187.7593580583,44726.5403882277,48962.1599686661,NA,NA,48455.23108
"65",2013-11-28 03:09:00,14035.4068711673,14580.898848857,15379.0078257805,14294.3566475047,13959.1190947796,NA,NA,14538.36232
"66",2013-12-27 20:06:00,24994.3173224042,22644.1334358391,23086.8558583908,25443.861503644,22316.2738494448,NA,NA,24561.7962
"67",2013-12-12 09:46:00,29359.5245726235,29114.0631617501,27676.4563185294,29694.6165921643,28524.9501540287,NA,NA,28777.30491
"68",2013-12-12 06:32:00,29960.9429823548,30821.1482324188,24658.3974194175,29123.2849388783,30702.9352155598,NA,NA,31188.89755
"69",2013-12-03 02:17:00,24434.255826593,23573.3963409143,22679.4710442857,23376.0127821963,24082.1811587113,NA,NA,23543.2028
"70",2013-11-26 05:33:00,38057.4403494987,37659.5430287095,38450.3490382609,38152.2214834697,37663.9582523653,NA,NA,38926.50331
"71",2013-12-24 23:23:00,10050.3838923964,9398.49547180505,15815.7978945104,13385.9134367466,8609.90580857822,NA,NA,11336.60803
"72",2013-12-18 23:04:00,19441.9826146679,18480.2485018251,18369.6209230303,20700.9021980724,19125.1186672472,NA,NA,16060.73436
